company,expiry date,strike price,stock price,margin,iscall,lot,call ltp,call bid price,call bid quantity,put ltp,put bid price,put bid quantity,percentage change in price,% margin
RBLBANK,25-Mar-2021,230.0,250.7,201956.0,P,2900,0.0,14.3,5800.0,0.0,10.25,2900.0,-8.25688073394495,0.0
MUTHOOTFIN,25-Mar-2021,1340.0,1166.0,170670.0,C,750,0.0,10.0,3000.0,0.0,145.65,17250.0,14.922813036020582,0.0
JSWSTEEL,25-Mar-2021,440.0,403.0,214407.0,C,2700,0.0,0.25,2700.0,0.0,28.65,5400.0,9.181141439205955,0.0
RAMCOCEM,25-Mar-2021,810.0,875.0,114163.5,P,850,0.0,54.7,19550.0,,,,-7.428571428571429,
MRF,25-Mar-2021,102500.0,90950.0,136479.9,C,10,0.0,0.0,0.0,,,,12.699285321605277,0.0
JSWSTEEL,25-Mar-2021,435.0,403.0,224491.5,C,2700,0.0,4.4,62100.0,0.0,25.1,5400.0,7.94044665012407,0.0
JSWSTEEL,25-Mar-2021,430.0,403.0,233658.0,C,2700,0.0,0.15,2700.0,0.0,21.65,5400.0,6.699751861042183,0.0
RAMCOCEM,25-Mar-2021,820.0,875.0,121133.5,P,850,0.0,48.2,19550.0,0.0,0.0,0.0,-6.2857142857142865,0.0
NESTLEIND,25-Mar-2021,18700.0,17109.3,124036.5,C,50,,,,0.0,1180.35,1150.0,9.297282764344542,
RAMCOCEM,25-Mar-2021,830.0,875.0,128758.0,P,850,0.0,33.95,19550.0,,,,-5.142857142857142,
JSWSTEEL,25-Mar-2021,425.0,403.0,243283.5,C,2700,0.0,0.2,2700.0,0.0,8.25,62100.0,5.459057071960298,0.0
JSWSTEEL,25-Mar-2021,380.0,403.0,230391.0,P,2700,0.0,20.25,5400.0,14.0,13.3,2700.0,-5.707196029776675,16.406890894175554
MUTHOOTFIN,25-Mar-2021,940.0,1166.0,113872.5,P,750,0.0,199.3,17250.0,0.0,0.2,1500.0,-19.382504288164665,0.0
NESTLEIND,25-Mar-2021,18600.0,17109.3,113221.5,C,50,,,,0.0,1085.35,1150.0,8.712805316406872,
RAMCOCEM,25-Mar-2021,920.0,875.0,129922.5,C,850,0.0,0.25,850.0,,,,5.142857142857142,0.0
JSWSTEEL,25-Mar-2021,375.0,403.0,218740.5,P,2700,0.0,25.25,5400.0,0.0,10.9,2700.0,-6.9478908188585615,0.0
RAMCOCEM,25-Mar-2021,930.0,875.0,124618.5,C,850,0.0,0.2,850.0,,,,6.2857142857142865,0.0
JSWSTEEL,25-Mar-2021,370.0,403.0,207009.0,P,2700,0.0,30.2,5400.0,12.0,8.5,5400.0,-8.188585607940446,15.651493413329856
MUTHOOTFIN,25-Mar-2021,960.0,1166.0,119070.0,P,750,0.0,181.05,17250.0,0.0,0.2,1500.0,-17.667238421955403,0.0
JSWSTEEL,25-Mar-2021,365.0,403.0,195466.5,P,2700,0.0,36.7,5400.0,0.0,7.35,5400.0,-9.429280397022332,0.0
NESTLEIND,25-Mar-2021,18500.0,17109.3,116295.5,C,50,0.0,0.0,0.0,0.0,963.3,1250.0,8.1283278684692,0.0
RAMCOCEM,25-Mar-2021,940.0,875.0,118328.5,C,850,0.0,0.2,850.0,,,,7.428571428571429,0.0
JSWSTEEL,25-Mar-2021,360.0,403.0,183816.0,P,2700,0.0,36.15,62100.0,0.0,6.2,5400.0,-10.669975186104217,0.0
NESTLEIND,25-Mar-2021,18800.0,17109.3,121347.5,C,50,,,,0.0,1275.35,1150.0,9.881760212282213,
JSWSTEEL,25-Mar-2021,445.0,403.0,229675.5,C,2700,0.0,0.1,2700.0,0.0,32.55,5400.0,10.421836228287841,0.0
RAMCOCEM,25-Mar-2021,800.0,875.0,106887.5,P,850,0.0,62.65,19550.0,0.0,0.1,2550.0,-8.571428571428571,0.0
NESTLEIND,25-Mar-2021,18900.0,17109.3,118722.5,C,50,,,,0.0,1370.35,1150.0,10.466237660219885,
NESTLEIND,25-Mar-2021,19400.0,17109.3,106582.0,C,50,,,,0.0,1845.35,1150.0,13.38862489990824,
RAMCOCEM,25-Mar-2021,750.0,875.0,83206.5,P,850,0.0,111.1,19550.0,0.0,0.15,850.0,-14.285714285714285,0.0
MRF,25-Mar-2021,97000.0,90950.0,168599.3,C,10,0.0,753.0,10.0,,,,6.6520065970313365,0.0
JUBLFOOD,25-Mar-2021,2350.0,2751.0,170912.5,P,250,0.0,352.5,5750.0,0.0,0.15,500.0,-14.576517629952745,0.0
NESTLEIND,25-Mar-2021,19300.0,17109.3,108884.5,C,50,,,,0.0,1750.35,1150.0,12.804147451970572,
JUBLFOOD,25-Mar-2021,2300.0,2751.0,163817.5,P,250,0.0,404.7,5750.0,0.0,0.2,500.0,-16.394038531443112,0.0
JUBLFOOD,25-Mar-2021,2250.0,2751.0,158897.5,P,250,0.0,440.0,5750.0,0.0,0.15,500.0,-18.21155943293348,0.0
RAMCOCEM,25-Mar-2021,760.0,875.0,86768.0,P,850,0.0,99.9,19550.0,0.0,7.45,1700.0,-13.142857142857142,0.0
JSWSTEEL,25-Mar-2021,480.0,403.0,154170.0,C,2700,0.0,1.0,2700.0,0.0,64.55,62100.0,19.106699751861044,0.0
NESTLEIND,25-Mar-2021,19200.0,17109.3,111246.5,C,50,,,,0.0,1655.35,1150.0,12.2196700040329,
MUTHOOTFIN,25-Mar-2021,980.0,1166.0,125220.0,P,750,0.0,163.45,17250.0,0.0,0.2,1500.0,-15.951972555746142,0.0
JSWSTEEL,25-Mar-2021,475.0,403.0,188203.5,C,2700,0.0,0.1,2700.0,0.0,60.05,62100.0,17.866004962779154,0.0
JSWSTEEL,25-Mar-2021,470.0,403.0,194454.0,C,2700,18.3,4.15,8100.0,0.0,55.7,62100.0,16.62531017369727,25.409608442099415
RAMCOCEM,25-Mar-2021,770.0,875.0,90474.0,P,850,0.0,90.4,19550.0,0.0,0.2,850.0,-12.0,0.0
JSWSTEEL,25-Mar-2021,465.0,403.0,201028.5,C,2700,0.0,0.1,2700.0,0.0,50.7,62100.0,15.384615384615385,0.0
MRF,25-Mar-2021,100000.0,90950.0,150160.1,C,10,0.0,10.0,10.0,,,,9.950522264980759,0.0
JSWSTEEL,25-Mar-2021,460.0,403.0,181683.0,C,2700,0.0,4.1,10800.0,0.0,45.3,62100.0,14.1439205955335,0.0
RAMCOCEM,25-Mar-2021,780.0,875.0,94205.5,P,850,0.0,80.9,19550.0,0.0,10.85,1700.0,-10.857142857142858,0.0
NESTLEIND,25-Mar-2021,19000.0,17109.3,116167.0,C,50,0.0,0.0,0.0,0.0,1201.05,1150.0,11.050715108157556,0.0
JSWSTEEL,25-Mar-2021,455.0,403.0,214798.5,C,2700,0.0,0.1,2700.0,0.0,41.85,62100.0,12.903225806451612,0.0
JSWSTEEL,25-Mar-2021,450.0,403.0,222102.0,C,2700,0.0,7.25,10800.0,0.0,36.45,62100.0,11.662531017369728,0.0
RAMCOCEM,25-Mar-2021,790.0,875.0,100385.0,P,850,0.0,71.4,19550.0,,,,-9.714285714285714,
NESTLEIND,25-Mar-2021,19100.0,17109.3,113675.0,C,50,,,,0.0,1560.35,1150.0,11.635192556095229,
RAMCOCEM,25-Mar-2021,740.0,875.0,79721.5,P,850,0.0,120.9,19550.0,0.0,0.15,850.0,-15.428571428571427,0.0
JSWSTEEL,25-Mar-2021,355.0,403.0,173380.5,P,2700,0.0,42.9,62100.0,0.0,0.15,2700.0,-11.910669975186105,0.0
JSWSTEEL,25-Mar-2021,350.0,403.0,164727.0,P,2700,0.0,47.65,62100.0,6.35,4.05,2700.0,-13.151364764267989,10.408129814784461
NESTLEIND,25-Mar-2021,18000.0,17109.3,132877.5,C,50,400.0,330.0,50.0,0.0,745.6,100.0,5.205940628780843,15.051457169197192
RAMCOCEM,25-Mar-2021,1030.0,875.0,92896.5,C,850,0.0,0.15,850.0,,,,17.71428571428571,0.0
MUTHOOTFIN,25-Mar-2021,1240.0,1166.0,220852.5,C,750,0.0,0.25,1500.0,,,,6.34648370497427,0.0
JINDALSTEL,25-Mar-2021,335.0,300.65,379275.0,C,5000,0.0,3.4,5000.0,0.0,25.4,115000.0,11.425245301846008,0.0
RAMCOCEM,25-Mar-2021,1040.0,875.0,78429.5,C,850,0.0,0.15,850.0,,,,18.857142857142858,0.0
JINDALSTEL,25-Mar-2021,330.0,300.65,394450.0,C,5000,0.0,12.6,10000.0,0.0,26.6,10000.0,9.762181939131889,0.0
MUTHOOTFIN,25-Mar-2021,1260.0,1166.0,209887.5,C,750,0.0,0.25,1500.0,,,,8.061749571183533,0.0
RBLBANK,25-Mar-2021,205.0,250.7,150959.5,P,2900,0.0,37.0,66700.0,0.0,0.15,2900.0,-18.22895891503789,0.0
JINDALSTEL,25-Mar-2021,325.0,300.65,410075.0,C,5000,0.0,2.0,10000.0,0.0,23.2,10000.0,8.09911857641777,0.0
MUTHOOTFIN,25-Mar-2021,1280.0,1166.0,199387.5,C,750,0.0,0.25,1500.0,0.0,88.95,17250.0,9.777015437392796,0.0
JINDALSTEL,25-Mar-2021,320.0,300.65,424250.0,C,5000,0.0,8.65,10000.0,0.0,19.85,10000.0,6.436055213703649,0.0
RBLBANK,25-Mar-2021,210.0,250.7,157441.0,P,2900,0.0,32.85,66700.0,0.0,4.3,2900.0,-16.234543278819302,0.0
JINDALSTEL,25-Mar-2021,285.0,300.65,498675.0,P,5000,0.0,26.6,10000.0,0.0,15.05,5000.0,-5.2053883252951865,0.0
RBLBANK,25-Mar-2021,215.0,250.7,164444.5,P,2900,0.0,27.85,66700.0,0.0,5.1,2900.0,-14.240127642600713,0.0
NESTLEIND,25-Mar-2021,16000.0,17109.3,117695.5,P,50,0.0,288.15,100.0,237.0,230.8,50.0,-6.483608329972585,10.06835435509429
MUTHOOTFIN,25-Mar-2021,1300.0,1166.0,188347.5,C,750,0.0,32.0,3000.0,0.0,106.05,17250.0,11.49228130360206,0.0
RBLBANK,25-Mar-2021,220.0,250.7,176262.0,P,2900,0.0,23.25,66700.0,0.0,7.15,2900.0,-12.245712006382126,0.0
JINDALSTEL,25-Mar-2021,280.0,300.65,474450.0,P,5000,0.0,6.75,10000.0,0.0,13.0,5000.0,-6.868451688009306,0.0
MUTHOOTFIN,25-Mar-2021,1320.0,1166.0,179805.0,C,750,0.0,15.0,3000.0,0.0,128.8,17250.0,13.20754716981132,0.0
RBLBANK,25-Mar-2021,225.0,250.7,189239.5,P,2900,0.0,18.5,66700.0,0.0,8.3,2900.0,-10.251296370163537,0.0
JINDALSTEL,25-Mar-2021,275.0,300.65,450825.0,P,5000,0.0,21.9,10000.0,0.0,11.3,5000.0,-8.531515050723426,0.0
JINDALSTEL,25-Mar-2021,340.0,300.65,362000.0,C,5000,0.0,7.5,5000.0,0.0,32.45,115000.0,13.088308664560127,0.0
JINDALSTEL,25-Mar-2021,345.0,300.65,399575.0,C,5000,0.0,9.05,5000.0,0.0,37.6,115000.0,14.751372027274249,0.0
NESTLEIND,25-Mar-2021,18100.0,17109.3,129399.0,C,50,,,,0.0,0.0,0.0,5.790418076718514,
RAMCOCEM,25-Mar-2021,1020.0,875.0,83359.5,C,850,0.0,0.15,850.0,,,,16.57142857142857,0.0
NESTLEIND,25-Mar-2021,18400.0,17109.3,119449.0,C,50,,,,0.0,0.0,0.0,7.543850420531529,
