company,expiry date,strike price,stock price,margin,iscall,lot,call ltp,call bid price,call bid quantity,put ltp,put bid price,put bid quantity,percentage change in price,% margin
AARTIIND,FEB+25+2021,880.0,1199.55,51361.25,P,425,0.0,293.35,9775.0,0.0,0.15,850.0,-26.639156350298027,0.0
NATIONALUM,FEB+25+2021,35.0,50.6,72845.0,P,17000,0.0,14.45,391000.0,0.05,0.0,0.0,-30.8300395256917,1.1668611435239207
NATIONALUM,FEB+25+2021,36.0,50.6,79390.0,P,17000,0.0,13.25,391000.0,0.0,0.0,0.0,-28.85375494071146,0.0
NATIONALUM,FEB+25+2021,37.0,50.6,85935.0,P,17000,0.0,12.3,391000.0,0.05,0.05,34000.0,-26.877470355731226,0.9891196834817013
NATIONALUM,FEB+25+2021,38.0,50.6,92480.0,P,17000,0.0,11.25,391000.0,0.0,0.05,136000.0,-24.901185770750992,0.0
NATIONALUM,FEB+25+2021,39.0,50.6,99025.0,P,17000,0.0,10.45,391000.0,0.15,0.05,68000.0,-22.92490118577075,2.575107296137339
NATIONALUM,FEB+25+2021,40.0,50.6,105570.0,P,17000,11.5,10.95,17000.0,0.1,0.05,1683000.0,-20.948616600790515,1.6103059581320451
NATIONALUM,FEB+25+2021,41.0,50.6,112115.0,P,17000,0.0,8.45,391000.0,0.0,0.05,476000.0,-18.972332015810277,0.0
NATIONALUM,FEB+25+2021,42.0,50.6,118490.0,P,17000,0.0,7.45,51000.0,0.15,0.15,85000.0,-16.996047430830043,2.152080344332855
NATIONALUM,FEB+25+2021,43.0,50.6,125035.0,P,17000,0.0,7.75,34000.0,0.2,0.15,782000.0,-15.019762845849804,2.719238613188307
NATIONALUM,FEB+25+2021,44.0,50.6,131580.0,P,17000,0.0,5.55,51000.0,0.3,0.25,221000.0,-13.043478260869568,3.875968992248062
NATIONALUM,FEB+25+2021,45.0,50.6,141015.0,P,17000,6.5,6.15,34000.0,0.45,0.4,238000.0,-11.067193675889332,5.424954792043399
NATIONALUM,FEB+25+2021,46.0,50.6,157930.0,P,17000,5.9,5.35,17000.0,0.6,0.55,238000.0,-9.090909090909093,6.458557588805167
NATIONALUM,FEB+25+2021,47.0,50.6,175355.0,P,17000,4.85,4.6,51000.0,0.8,0.8,187000.0,-7.114624505928855,7.755695588948134
