company,expiry date,strike price,stock price,margin,iscall,lot,call ltp,call bid price,call bid quantity,put ltp,put bid price,put bid quantity,percentage change in price,% margin
ACC,25-Feb-21,1380,1721.4,63555,P,500,0,328.2,11500,0,0.2,3000,-19.83269432,0
ACC,25-Feb-21,1940,1721.4,104875,C,500,13.5,13.2,1000,0,185.2,2500,12.69896596,6.436233611
ACC,25-Feb-21,1920,1721.4,108025,C,500,21.15,15.3,500,0,165.2,2500,11.53712095,9.789400602
ACC,25-Feb-21,1900,1721.4,111175,C,500,20.5,19.75,500,0,144.05,11500,10.37527594,9.219698673
ACC,25-Feb-21,1880,1721.4,116500,C,500,26.6,20.05,1000,0,127.5,1000,9.213430928,11.41630901
ACC,25-Feb-21,1860,1721.4,126140,C,500,37.5,24,1000,0,145.5,500,8.051585918,14.86443634
ACC,25-Feb-21,2060,1721.4,87610,C,500,0,0.4,5000,0,297.9,11500,19.67003602,0
ACC,25-Feb-21,1960,1721.4,103395,C,500,0,3.25,2000,0,201.15,11500,13.86081097,0
ACC,25-Feb-21,2040,1721.4,92885,C,500,6,5.05,500,0,280.25,11500,18.50819101,3.229800291
ACC,25-Feb-21,2020,1721.4,93645,C,500,0,0.55,500,0,261,11500,17.346346,0
ACC,25-Feb-21,2000,1721.4,95540,C,500,8.65,8.25,2000,0,241.1,11500,16.18450099,4.526899728
ACC,25-Feb-21,1980,1721.4,100040,C,500,0,1.95,1000,0,221.15,11500,15.02265598,0
ACC,25-Feb-21,1440,1721.4,74930,P,500,0,266.75,11500,0,0.2,5000,-16.34715929,0
ACC,25-Feb-21,1820,1721.4,145305,C,500,35.25,35.3,1500,0,120.85,1000,5.727895899,12.1296583
ACC,25-Feb-21,1580,1721.4,102380,P,500,0,125.05,1500,15,7.55,1000,-8.21424422,7.325649541
ACC,25-Feb-21,1420,1721.4,71115,P,500,0,285.05,11500,0,0.2,5000,-17.5090043,0
ACC,25-Feb-21,1480,1721.4,83130,P,500,0,226.8,11500,2.5,1.1,2500,-14.02346927,1.503668952
ACC,25-Feb-21,1600,1721.4,106230,P,500,182,148.95,500,20,20.35,1000,-7.05239921,9.413536666
ACC,25-Feb-21,1460,1721.4,79285,P,500,0,246.8,11500,2.45,1.05,500,-15.18531428,1.545058964
ACC,25-Feb-21,1620,1721.4,112815,P,500,175,94.1,500,14.5,16.95,500,-5.8905542,6.426450383
ACC,25-Feb-21,1500,1721.4,86980,P,500,238,233.2,500,6.5,6.5,500,-12.86162426,3.736491147
ACC,25-Feb-21,1400,1721.4,67635,P,500,0,303.2,11500,0.95,1,2000,-18.67084931,0.702299105
ACC,25-Feb-21,1560,1721.4,98530,P,500,0,145.15,1500,13.2,11.35,1500,-9.37608923,6.698467472
ACC,25-Feb-21,1840,1721.4,135760,C,500,30.8,30.05,1500,0,83.7,11500,6.889740909,11.34354744
ACC,25-Feb-21,1520,1721.4,90830,P,500,0,186.9,11500,26,2.65,500,-11.69977925,14.31245183
ACC,25-Feb-21,1540,1721.4,94680,P,500,0,167.7,11500,6,4.6,500,-10.53793424,3.168567807
ACC,25-Mar-21,1480,1721.4,82610,P,500,0,210,11500,0,0.25,500,-14.02346927,0
ACC,25-Mar-21,1520,1721.4,90630,P,500,0,185.85,11500,0,0.25,500,-11.69977925,0
ACC,25-Mar-21,1500,1721.4,86565,P,500,0,206.55,11500,0,0.25,500,-12.86162426,0
ACC,25-Mar-21,1400,1721.4,67300,P,500,0,291.15,11500,0,0.25,500,-18.67084931,0
ACC,25-Mar-21,1420,1721.4,71575,P,500,0,281.75,11500,0,0.25,500,-17.5090043,0
ACC,25-Mar-21,1380,1721.4,64230,P,500,0,300.35,11500,0,0.25,500,-19.83269432,0
ACC,25-Mar-21,1460,1721.4,78725,P,500,0,241.5,11500,0,0.25,500,-15.18531428,0
ACC,25-Mar-21,1440,1721.4,75385,P,500,0,262.35,11500,0,0.25,500,-16.34715929,0
ACC,25-Mar-21,1980,1721.4,119695,C,500,0,6.65,1000,0,209.55,11500,15.02265598,0
ACC,25-Mar-21,1960,1721.4,124605,C,500,0,0.25,500,0,186.5,11500,13.86081097,0
ACC,25-Mar-21,1620,1721.4,118215,P,500,0,83.35,11500,0,0,0,-5.8905542,0
ACC,25-Mar-21,2020,1721.4,110515,C,500,0,0.25,500,0,242.95,11500,17.346346,0
ACC,25-Mar-21,2000,1721.4,98630,C,500,25,9,1000,0,225.05,11500,16.18450099,12.67362871
ACC,25-Mar-21,1880,1721.4,133695,C,500,0,0.25,500,0,115.1,11500,9.213430928,0
ACC,25-Mar-21,1860,1721.4,140440,C,500,0,0.2,500,0,96.7,11500,8.051585918,0
ACC,25-Mar-21,1940,1721.4,129790,C,500,0,0.25,500,0,167.5,11500,12.69896596,0
ACC,25-Mar-21,1820,1721.4,154765,C,500,0,39.45,1500,,,,5.727895899,0
ACC,25-Mar-21,1920,1721.4,135190,C,500,0,0.25,500,0,148.5,11500,11.53712095,0
ACC,25-Mar-21,1900,1721.4,126530,C,500,0,0.25,500,0,115.9,11500,10.37527594,0
ACC,25-Mar-21,1600,1721.4,109960,P,500,0,99.1,11500,0,19,1000,-7.05239921,0
ACC,25-Mar-21,1560,1721.4,99090,P,500,0,137.5,11500,0,12.4,1000,-9.37608923,0
ACC,25-Mar-21,1840,1721.4,147455,C,500,0,33.55,1000,,,,6.889740909,0
ACC,25-Mar-21,1540,1721.4,94815,P,500,0,166.35,11500,0,0.25,500,-10.53793424,0
ACC,25-Mar-21,2060,1721.4,102255,C,500,0,0.15,500,0,283.35,11500,19.67003602,0
ACC,25-Mar-21,2040,1721.4,106295,C,500,0,0.15,500,0,265.35,11500,18.50819101,0
ACC,25-Mar-21,1580,1721.4,103545,P,500,0,115.95,11500,0,15.75,1000,-8.21424422,0
ADANIENT,25-Feb-21,510,598.3,206920,P,2000,0,79.9,10000,4.5,4.15,2000,-14.75848237,4.349507056
ADANIENT,25-Feb-21,500,598.3,199220,P,2000,98.6,96.3,4000,3.4,3,6000,-16.42988467,3.413311916
ADANIENT,25-Feb-21,490,598.3,191520,P,2000,0,96,6000,0,2,4000,-18.10128698,0
ADANIENT,25-Feb-21,480,598.3,183820,P,2000,0,115.9,6000,2.5,1.65,2000,-19.77268929,2.720052225
ADANIENT,25-Feb-21,520,598.3,221200,P,2000,0,82.55,2000,5.75,5.4,2000,-13.08708006,5.198915009
ADANIENT,25-Feb-21,530,598.3,241880,P,2000,75.95,71.85,8000,0,6.3,4000,-11.41567775,0
ADANIENT,25-Feb-21,640,598.3,268560,C,2000,14.85,15,2000,0,35.35,6000,6.969747618,11.05898123
ADANIENT,25-Feb-21,630,598.3,287620,C,2000,18.4,17.9,4000,0,30.9,8000,5.298345312,12.79465962
ADANIENT,25-Feb-21,560,598.3,303320,P,2000,51.35,51.05,2000,14.85,14.45,2000,-6.401470834,9.791639193
ADANIENT,25-Feb-21,550,598.3,283080,P,2000,60.75,58.6,2000,11.6,11.5,2000,-8.072873141,8.195563092
ADANIENT,25-Feb-21,540,598.3,262560,P,2000,75,66.15,2000,9.35,9.05,2000,-9.744275447,7.122181597
ADANIENT,25-Feb-21,650,598.3,249320,C,2000,12.5,12.45,2000,0,43.8,2000,8.641149925,10.02727419
ADANIENT,25-Feb-21,690,598.3,223540,C,2000,6.8,5.3,2000,0,87.95,10000,15.32675915,6.083922341
ADANIENT,25-Feb-21,680,598.3,211600,C,2000,8.6,6.45,2000,0,77.5,10000,13.65535684,8.128544423
ADANIENT,25-Feb-21,660,598.3,230040,C,2000,10.6,10.5,16000,0,57.95,10000,10.31255223,9.215788559
ADANIENT,25-Feb-21,670,598.3,247320,C,2000,8.7,8.6,4000,0,68,10000,11.98395454,7.035419699
ADANIENT,25-Mar-21,660,598.3,267760,C,2000,0,0,0,0,45.65,46000,10.31255223,0
ADANIENT,25-Mar-21,650,598.3,281340,C,2000,0,0.15,2000,,,,8.641149925,0
ADANIENT,25-Mar-21,680,598.3,243280,C,2000,0,1,2000,0,69.9,46000,13.65535684,0
ADANIENT,25-Mar-21,670,598.3,287180,C,2000,0,1,2000,0,56.35,46000,11.98395454,0
ADANIENT,25-Mar-21,690,598.3,268640,C,2000,0,7,2000,0,76.85,46000,15.32675915,0
ADANIENT,25-Mar-21,560,598.3,298260,P,2000,0,0.75,2000,0,11.45,46000,-6.401470834,0
ADANIENT,25-Mar-21,550,598.3,280400,P,2000,0,32.35,46000,0,19.6,2000,-8.072873141,0
ADANIENT,25-Mar-21,540,598.3,262200,P,2000,0,46.05,46000,0,0,0,-9.744275447,0
ADANIENT,25-Mar-21,530,598.3,245300,P,2000,0,56.85,46000,0,13.2,4000,-11.41567775,0
ADANIENT,25-Mar-21,520,598.3,227800,P,2000,0,65.85,46000,0,10.9,4000,-13.08708006,0
ADANIENT,25-Mar-21,640,598.3,294500,C,2000,0,0.15,2000,,,,6.969747618,0
ADANIENT,25-Mar-21,630,598.3,310040,C,2000,0,1.8,2000,,,,5.298345312,0
ADANIENT,25-Mar-21,480,598.3,184420,P,2000,0,102.75,46000,0,1.45,4000,-19.77268929,0
ADANIENT,25-Mar-21,510,598.3,211980,P,2000,0,76.1,46000,0,5.7,4000,-14.75848237,0
ADANIENT,25-Mar-21,500,598.3,202000,P,2000,0,84.95,46000,0,5.5,4000,-16.42988467,0
ADANIENT,25-Mar-21,490,598.3,193220,P,2000,0,94.9,46000,0,2.2,4000,-18.10128698,0
ADANIPORTS,25-Feb-21,510,566.7,346225,P,2500,0,62.35,2500,6.2,5.35,2500,-10.00529381,4.476857535
ADANIPORTS,25-Feb-21,505,566.7,327462.5,P,2500,0,6.15,12500,0,3,2500,-10.88759485,0
ADANIPORTS,25-Feb-21,515,566.7,351587.5,P,2500,0,1.1,5000,0,1.25,2500,-9.122992765,0
ADANIPORTS,25-Feb-21,495,566.7,303387.5,P,2500,0,0,0,0,1.6,2500,-12.65219693,0
ADANIPORTS,25-Feb-21,490,566.7,294500,P,2500,0,66.8,7500,3.3,3.2,2500,-13.53449797,2.801358234
ADANIPORTS,25-Feb-21,500,566.7,320350,P,2500,78,73.3,7500,4.6,4.6,5000,-11.76989589,3.58982363
ADANIPORTS,25-Feb-21,485,566.7,282412.5,P,2500,0,0,0,0,0.6,2500,-14.41679901,0
ADANIPORTS,25-Feb-21,640,566.7,324900,C,2500,7.5,7.3,2500,0,0,0,12.93453326,5.771006464
ADANIPORTS,25-Feb-21,630,566.7,349025,C,2500,9.05,9,7500,0,39.85,7500,11.16993118,6.482343672
ADANIPORTS,25-Feb-21,650,566.7,326500,C,2500,6.2,6.15,2500,0,0,0,14.69913534,4.747320061
ADANIPORTS,25-Feb-21,620,566.7,373150,C,2500,10.9,10.7,2500,0,60.1,2500,9.405329098,7.302693287
ADANIPORTS,25-Feb-21,660,566.7,291225,C,2500,5.05,5,2500,0,56.1,7500,16.46373743,4.335136063
ADANIPORTS,25-Feb-21,610,566.7,397250,C,2500,11.95,13.15,2500,0,31.4,7500,7.640727016,7.520453115
ADANIPORTS,25-Feb-21,600,566.7,421225,C,2500,16.35,15.9,5000,0,45.4,2500,5.876124934,9.703839991
ADANIPORTS,25-Feb-21,535,566.7,400362.5,P,2500,0,1.15,5000,0,9.55,2500,-5.593788601,0
ADANIPORTS,25-Feb-21,670,566.7,292650,C,2500,4.2,3.75,2500,0,0,0,18.22833951,3.587903639
ADANIPORTS,25-Feb-21,530,566.7,397950,P,2500,50.8,49.95,2500,11,10.95,5000,-6.476089642,6.910415881
ADANIPORTS,25-Feb-21,525,566.7,375912.5,P,2500,58.4,1.15,2500,0,6.6,2500,-7.358390683,0
ADANIPORTS,25-Feb-21,520,566.7,372100,P,2500,57.15,57.2,5000,8.5,8.4,2500,-8.240691724,5.710830422
ADANIPORTS,25-Feb-21,480,566.7,278050,P,2500,0,0,0,2.4,2.35,2500,-15.29910005,2.157885272
ADANIPORTS,25-Feb-21,475,566.7,272437.5,P,2500,0,0,0,0,0.4,2500,-16.18140109,0
ADANIPORTS,25-Feb-21,455,566.7,253087.5,P,2500,0,46,7500,0,0.25,2500,-19.71060526,0
ADANIPORTS,25-Feb-21,470,566.7,268450,P,2500,0,73.4,7500,1.2,1.2,2500,-17.06370214,1.117526541
ADANIPORTS,25-Feb-21,465,566.7,262762.5,P,2500,0,36.95,7500,0,1,2500,-17.94600318,0
ADANIPORTS,25-Feb-21,460,566.7,258825,P,2500,0,41.4,7500,0,1,2500,-18.82830422,0
ADANIPORTS,25-Mar-21,460,566.7,257700,P,2500,0,98.7,57500,,,,-18.82830422,
ADANIPORTS,25-Mar-21,530,566.7,386450,P,2500,0,25.8,57500,0,0,0,-6.476089642,0
ADANIPORTS,25-Mar-21,520,566.7,362475,P,2500,0,39.4,57500,0,2.15,57500,-8.240691724,0
ADANIPORTS,25-Mar-21,510,566.7,338675,P,2500,0,51.05,57500,0,4.35,57500,-10.00529381,0
ADANIPORTS,25-Mar-21,630,566.7,363700,C,2500,0,12.05,5000,0,46.75,57500,11.16993118,0
ADANIPORTS,25-Mar-21,620,566.7,382375,C,2500,0,21.75,12500,0,35.3,57500,9.405329098,0
