company,expiry date,strike price,stock price,margin,iscall,lot,call ltp,call bid price,call bid quantity,put ltp,put bid price,put bid quantity,percentage change in price,% margin
ACC,25-Feb-2021,1140.0,1815.55,20705.0,P,500,0.0,598.0,11500.0,,,,-37.20911018699567,
PNB,25-Feb-2021,20.0,43.7,63360.0,P,16000,,,,0.0,0.0,0.0,-54.23340961098398,0.0
PIDILITIND,25-Feb-2021,1500.0,1787.7,78965.0,P,500,0.0,249.95,1500.0,0.0,0.2,1000.0,-16.09330424567881,0.0
PIDILITIND,25-Feb-2021,1460.0,1787.7,71110.0,P,500,0.0,307.5,1500.0,0.0,0.1,3000.0,-18.330816132460708,0.0
PAGEIND,25-Feb-2021,22250.0,28937.55,74854.5,P,30,,,,0.0,0.1,1500.0,-23.110284042705757,0.0
PIDILITIND,25-Feb-2021,1160.0,1787.7,21965.0,P,500,0.0,544.45,11500.0,0.0,0.0,0.0,-35.11215528332494,0.0
PETRONET,25-Feb-2021,290.0,244.5,102180.0,C,3000,0.4,0.35,3000.0,0.0,41.9,6000.0,18.609406952965234,1.1743981209630066
PETRONET,25-Feb-2021,295.0,244.5,97455.0,C,3000,0.0,0.1,3000.0,0.0,45.75,9000.0,20.654396728016362,0.0
PETRONET,25-Feb-2021,300.0,244.5,92730.0,C,3000,0.25,0.2,42000.0,0.0,47.25,69000.0,22.699386503067483,0.8087997411840828
PETRONET,25-Feb-2021,305.0,244.5,88005.0,C,3000,,,,0.0,52.05,69000.0,24.74437627811861,
PETRONET,25-Feb-2021,310.0,244.5,83520.0,C,3000,0.15,0.1,3000.0,0.0,56.4,69000.0,26.789366053169733,0.5387931034482759
PETRONET,25-Feb-2021,315.0,244.5,78825.0,C,3000,0.0,0.0,0.0,0.0,60.65,69000.0,28.834355828220858,0.0
PETRONET,25-Feb-2021,320.0,244.5,73830.0,C,3000,0.0,0.0,0.0,0.0,64.95,69000.0,30.879345603271986,0.0
PETRONET,25-Feb-2021,325.0,244.5,69675.0,C,3000,0.0,0.0,0.0,0.0,71.2,69000.0,32.92433537832311,0.0
PIDILITIND,25-Feb-2021,1080.0,1787.7,19005.0,P,500,0.0,617.0,11500.0,0.0,0.0,0.0,-39.58717905688874,0.0
PIDILITIND,25-Feb-2021,1100.0,1787.7,19470.0,P,500,0.0,598.9,11500.0,0.0,0.05,3000.0,-38.46842311349779,0.0
PIDILITIND,25-Feb-2021,1120.0,1787.7,20065.0,P,500,0.0,581.3,11500.0,0.0,0.0,0.0,-37.34966717010684,0.0
PIDILITIND,25-Feb-2021,1140.0,1787.7,20865.0,P,500,0.0,562.25,11500.0,0.0,0.0,0.0,-36.2309112267159,0.0
PIDILITIND,25-Feb-2021,2180.0,1787.7,73730.0,C,500,0.0,0.1,4000.0,0.0,349.95,11500.0,21.944397829613465,0.0
PIDILITIND,25-Feb-2021,2160.0,1787.7,76745.0,C,500,0.0,0.15,3000.0,0.0,332.45,11500.0,20.825641886222517,0.0
PIDILITIND,25-Feb-2021,2140.0,1787.7,79800.0,C,500,0.0,0.15,3000.0,0.0,319.3,1500.0,19.70688594283157,0.0
PIDILITIND,25-Feb-2021,2120.0,1787.7,82885.0,C,500,0.0,0.15,3000.0,0.0,300.9,1500.0,18.58812999944062,0.0
PIDILITIND,25-Feb-2021,1580.0,1787.7,94365.0,P,500,0.0,174.05,1500.0,0.3,0.3,1000.0,-11.61828047211501,0.1589572405023049
PIDILITIND,25-Feb-2021,1600.0,1787.7,98215.0,P,500,0.0,184.1,2000.0,1.2,1.25,500.0,-10.499524528724061,0.6109046479661966
PIDILITIND,25-Feb-2021,1620.0,1787.7,102060.0,P,500,0.0,150.05,2000.0,0.0,0.2,1500.0,-9.380768585333112,0.0
PIDILITIND,25-Feb-2021,1640.0,1787.7,105900.0,P,500,0.0,121.9,1500.0,1.5,1.45,5000.0,-8.262012641942162,0.7082152974504249
PIDILITIND,25-Feb-2021,1660.0,1787.7,111885.0,P,500,0.0,125.05,500.0,2.0,1.1,1000.0,-7.143256698551213,0.8937748581132413
PIDILITIND,25-Feb-2021,1680.0,1787.7,122095.0,P,500,0.0,77.45,500.0,2.65,2.85,500.0,-6.024500755160264,1.0852205250010238
PIDILITIND,25-Feb-2021,1880.0,1787.7,134610.0,C,500,6.95,5.1,500.0,0.0,61.6,3500.0,5.163058678749228,2.5815318327018795
PIDILITIND,25-Feb-2021,1900.0,1787.7,125415.0,C,500,4.8,4.05,500.0,0.0,106.55,1500.0,6.281814622140177,1.9136466929793088
PIDILITIND,25-Feb-2021,1180.0,1787.7,23445.0,P,500,0.0,526.75,11500.0,0.0,0.0,0.0,-33.993399339933994,0.0
PIDILITIND,25-Feb-2021,1920.0,1787.7,115720.0,C,500,0.0,1.15,500.0,0.0,101.75,2500.0,7.400570565531127,0.0
PIDILITIND,25-Feb-2021,1480.0,1787.7,74955.0,P,500,0.0,267.05,1500.0,0.0,0.1,5000.0,-17.212060189069756,0.0
PIDILITIND,25-Feb-2021,1980.0,1787.7,104630.0,C,500,2.3,1.8,1000.0,0.0,159.65,1500.0,10.756838395703975,1.099111153588837
PIDILITIND,25-Feb-2021,2000.0,1787.7,101480.0,C,500,1.75,1.35,500.0,0.0,182.1,1500.0,11.875594339094924,0.862238864800946
PIDILITIND,25-Feb-2021,2020.0,1787.7,98490.0,C,500,0.0,0.3,5000.0,0.0,201.7,1500.0,12.994350282485872,0.0
PIDILITIND,25-Feb-2021,2040.0,1787.7,95350.0,C,500,0.0,0.3,5000.0,0.0,222.0,1500.0,14.113106225876823,0.0
PIDILITIND,25-Feb-2021,2060.0,1787.7,92215.0,C,500,0.0,0.25,5000.0,0.0,241.6,1500.0,15.231862169267771,0.0
PIDILITIND,25-Feb-2021,2080.0,1787.7,89105.0,C,500,0.0,0.2,5000.0,0.0,262.0,1500.0,16.350618112658722,0.0
PIDILITIND,25-Feb-2021,2100.0,1787.7,85735.0,C,500,0.0,0.15,5000.0,0.0,281.2,1500.0,17.46937405604967,0.0
PIDILITIND,25-Feb-2021,1960.0,1787.7,107770.0,C,500,0.0,0.55,500.0,0.0,156.6,1500.0,9.638082452313025,0.0
PIDILITIND,25-Feb-2021,1440.0,1787.7,67260.0,P,500,0.0,325.75,1500.0,0.0,0.1,3000.0,-19.449572075851655,0.0
PIDILITIND,25-Feb-2021,1200.0,1787.7,22755.0,P,500,0.0,508.6,11500.0,0.0,0.05,3000.0,-32.87464339654305,0.0
PIDILITIND,25-Feb-2021,1220.0,1787.7,27730.0,P,500,0.0,491.0,11500.0,,,,-31.7558874531521,
POWERGRID,25-Feb-2021,172.5,234.75,53950.0,P,4000,0.0,56.05,92000.0,0.0,0.0,0.0,-26.517571884984026,0.0
POWERGRID,25-Feb-2021,175.0,234.75,57780.0,P,4000,0.0,53.55,92000.0,0.1,0.05,32000.0,-25.452609158679447,0.6922810661128418
POWERGRID,25-Feb-2021,177.5,234.75,61650.0,P,4000,0.0,52.45,92000.0,0.0,0.05,12000.0,-24.38764643237487,0.0
POWERGRID,25-Feb-2021,180.0,234.75,65480.0,P,4000,0.0,44.0,92000.0,0.1,0.05,84000.0,-23.322683706070286,0.6108735491753207
POWERGRID,25-Feb-2021,185.0,234.75,73180.0,P,4000,51.0,46.8,20000.0,0.1,0.05,156000.0,-21.19275825346113,0.5465974309920744
PNB,25-Feb-2021,27.0,43.7,112360.0,P,16000,,,,0.0,0.0,0.0,-38.21510297482838,0.0
POWERGRID,25-Feb-2021,187.5,234.75,77050.0,P,4000,0.0,43.7,20000.0,0.05,0.0,0.0,-20.12779552715655,0.25957170668397145
POWERGRID,25-Feb-2021,190.0,234.75,80880.0,P,4000,44.2,44.15,4000.0,0.2,0.15,4000.0,-19.06283280085197,0.9891196834817013
